Abadiano (Los Bajos) , Michoacán. Clave Lada 353
Tenenexpan , Veracrúz. Clave Lada 285
Teneria del Santuario , Guanajuato. Clave Lada 461
Tenexpa , Guerrero. Clave Lada 742
Tenextepango , Morelos. Clave Lada 735
Tenguecho , Michoacán. Clave Lada 355
Tenjay , Estado de México. Clave Lada 588
Tenosique , Tabasco. Clave Lada 934
Tenhe , Hidalgo. Clave Lada 738
Teocaltiche , Jalisco. Clave Lada 346
Teocaltitan de Guadalupe , Jalisco. Clave Lada 431
Teocelo , Veracrúz. Clave Lada 279
Teococuilco de Marcos Perez , Oaxaca. Clave Lada 951
Teocuitatlan de Corona , Jalisco. Clave Lada 372
Teoloyucan , Estado de México. Clave Lada 593
Teopantlan , Puebla. Clave Lada 243
Teopisca , Chiapas. Clave Lada 992
Teotihuacan , Estado de México. Clave Lada 594
Teotitlan de Flores Magon , Oaxaca. Clave Lada 236
Teotitlan del Valle , Oaxaca. Clave Lada 951
Tepache , Sonora. Clave Lada 634
Tepakan , Yucatán. Clave Lada 991
Tepalcatepec , Michoacán. Clave Lada 424
Tepalcingo , Morelos. Clave Lada 769
Tepanco de Lopez , Puebla. Clave Lada 238
Tepango de Rodriguez , Puebla. Clave Lada 764
Tepatepec , Hidalgo. Clave Lada 738
Tepatitlan de Morelos , Jalisco. Clave Lada 378
Tepatlaxco de Hidalgo , Puebla. Clave Lada 223
Tepatlaxco , Veracrúz. Clave Lada 273
Tepeaca , Puebla. Clave Lada 223
Tepeapulco , Hidalgo. Clave Lada 791
Tepecoacuilco de Trujano , Guerrero. Clave Lada 733
Tepechitlan , Zacatecas. Clave Lada 437
Tepehuacan de Guerrero , Hidalgo. Clave Lada 774
Tepehuanes , Durango. Clave Lada 674
Tepeji de Ocampo , Hidalgo. Clave Lada 773
Tepeojuma , Puebla. Clave Lada 244
Tepetitan , Tabasco. Clave Lada 936
Tepetitlan , Estado de México. Clave Lada 595
Tepetixtla , Guerrero. Clave Lada 781
Tepetlan , Veracrúz. Clave Lada 279
Tepetlaoxtoc , Estado de México. Clave Lada 595
Tepetongo , Zacatecas. Clave Lada 494
Tepetzintla , Veracrúz. Clave Lada 785
Tepexco , Puebla. Clave Lada 243
Tepexi de Rodriguez , Puebla. Clave Lada 224
Tepexpan , Estado de México. Clave Lada 594
Tepeyahualco , Puebla. Clave Lada 282
Tepezala , Aguascalientes. Clave Lada 465
Tepic , Nayarit. Clave Lada 311
Tepojaco , Estado de México. Clave Lada 55
Tepotzotlan , Estado de México. Clave Lada 55
Tepoztlan , Morelos. Clave Lada 739
Tepusco , Jalisco. Clave Lada 495
Tepuzhuacan , Nayarit. Clave Lada 324
Tequesquite , Jalisco. Clave Lada 322
Tequesquitengo , Morelos. Clave Lada 734
Tequesquitlan , Jalisco. Clave Lada 357
Tequexquinahuac , Estado de México. Clave Lada 595
Tequexquitla , Tlaxcala. Clave Lada 276
Tequila Clave Lada 1ra. Seccion , Tabasco. Clave Lada 932
Tequila , Jalisco. Clave Lada 374
Tequila , Veracrúz. Clave Lada 278
Tequisquiapan , Querétaro. Clave Lada 414
Tequixquiac , Estado de México. Clave Lada 591
Terrenate , Sonora. Clave Lada 632
Terrenate , Tlaxcala. Clave Lada 241
Tesechoacan , Veracrúz. Clave Lada 283
Tesistan (San Francisco Tesistan) , Jalisco. Clave Lada 33
Testerazo (El Refugio) , Nayarit. Clave Lada 311
Tetecala , Morelos. Clave Lada 751
Tetecalita , Morelos. Clave Lada 777
Tetela de Ocampo , Puebla. Clave Lada 797
Tetela del Volcan , Morelos. Clave Lada 731
Tetela , Oaxaca. Clave Lada 274
Teteles , Puebla. Clave Lada 231
Tetelzingo , Veracrúz. Clave Lada 273
Tetillas , Zacatecas. Clave Lada 498
Tetipac , Guerrero. Clave Lada 721
Tetitlan , Guerrero. Clave Lada 742
Tetitlan , Nayarit. Clave Lada 324
Tetiz , Yucatán. Clave Lada 988
Tetla , Tlaxcala. Clave Lada 241
Teuchitlan , Jalisco. Clave Lada 384
Teul de Gonzalez Ortega , Zacatecas. Clave Lada 467
Texca , Guerrero. Clave Lada 744
Texcalame , Jalisco. Clave Lada 375
Texcaltitlan , Estado de México. Clave Lada 716
Texcoco de Mora , Estado de México. Clave Lada 595
Texistepec , Veracrúz. Clave Lada 924
Teziutlan , Puebla. Clave Lada 231
Tezoatlan de Segura y Luna , Oaxaca. Clave Lada 953
Tezonapa , Veracrúz. Clave Lada 278
Tezontepec de Aldama , Hidalgo. Clave Lada 763
Tezoyuca , Estado de México. Clave Lada 594
Tezuapan , Puebla. Clave Lada 249
Tianguismanalco , Puebla. Clave Lada 244
Tianguistengo , Hidalgo. Clave Lada 774
Tianguistengo , Puebla. Clave Lada 953
Ticuitaco (Tocuitaco) , Michoacán. Clave Lada 352
Ticul , Yucatán. Clave Lada 997
Ticuman , Morelos. Clave Lada 734
Tierra Blanca , Guanajuato. Clave Lada 419
Tierra Blanca , Veracrúz. Clave Lada 274
Tierra Blanca , Zacatecas. Clave Lada 496
Tierra Colorada , Guerrero. Clave Lada 745
Tierra Fria , Guanajuato. Clave Lada 411
Tierra y Libertad , Chiapas. Clave Lada 968
Tierranueva , San Luis Potosí. Clave Lada 485
Tierras Coloradas , Jalisco. Clave Lada 378
Tigrillos , Veracrúz. Clave Lada 279
Tihosuco , Quintana Roo. Clave Lada 983
Tihuatlan , Veracrúz. Clave Lada 746
Tijuana , Baja California. Clave Lada 664
Tila , Chiapas. Clave Lada 919
Tilapa , Puebla. Clave Lada 243
Tilapan , Veracrúz. Clave Lada 294
Tilzapotla , Morelos. Clave Lada 751
Tinaja de Vargas , Michoacán. Clave Lada 356
Tinajas , Hidalgo. Clave Lada 773
Tinguindin , Michoacán. Clave Lada 354
Tiquicheo , Michoacán. Clave Lada 459
Tirimacuaro (Valanciana) , Michoacán. Clave Lada 359
Tirindaro , Michoacán. Clave Lada 436
Tiripetio , Michoacán. Clave Lada 443
Tixcancal , Yucatán. Clave Lada 986
Tixkokob , Yucatán. Clave Lada 991
Tixtla , Guerrero. Clave Lada 754
Tixtlancingo , Guerrero. Clave Lada 781
Tizapan El Alto , Jalisco. Clave Lada 376
Tizayuca , Hidalgo. Clave Lada 779
Tizimin , Yucatán. Clave Lada 986
Tlacoachistlahuaca , Guerrero. Clave Lada 741
Tlacojalpan , Veracrúz. Clave Lada 288
Tlacolula de Matamoros , Oaxaca. Clave Lada 951
Tlacolula , Veracrúz. Clave Lada 746
Tlacotalpan , Veracrúz. Clave Lada 288
Tlacote El Bajo , Querétaro. Clave Lada 442
Tlacotepec de Mejia , Veracrúz. Clave Lada 273
Tlacotepec , Guerrero. Clave Lada 736
Tlacotepec , Morelos. Clave Lada 731
Tlacotepec , Puebla. Clave Lada 237
Tlacuitapan , Jalisco. Clave Lada 395
Tlachaloya Clave Lada 1a. Seccion , Estado de México. Clave Lada 722
Tlachaloya Clave Lada 2a. Seccion , Estado de México. Clave Lada 722
Tlachichila , Zacatecas. Clave Lada 346
Tlachichuca , Puebla. Clave Lada 245
Tlahuac , CDMX (Ciudad de México). Clave Lada 55
Tlahualilo de Zaragoza , Durango. Clave Lada 872
Tlahuelilpan , Hidalgo. Clave Lada 763
Tlahuelompa (San Francisco Tlahuelompa) , Hidalgo. Clave Lada 774
Tlajomulco de Zuniga , Jalisco. Clave Lada 33
Tlalcosahua , Jalisco. Clave Lada 457
Tlalchapa , Guerrero. Clave Lada 732
Tlalixcoyan , Veracrúz. Clave Lada 285
Tlalixtaquilla , Guerrero. Clave Lada 757
Tlalmanalco , Estado de México. Clave Lada 597
Tlalnepantla , Estado de México. Clave Lada 55
Tlalnepantla , Morelos. Clave Lada 735
Tlalpan , CDMX (Ciudad de México). Clave Lada 55
Tlalpujahua , Michoacán. Clave Lada 711
Tlalquetzala , Guerrero. Clave Lada 757
Tlaltenango , Puebla. Clave Lada 222
Tlaltenango , Zacatecas. Clave Lada 437
Tlaltetela , Veracrúz. Clave Lada 279
Tlaltizapan , Morelos. Clave Lada 734
Tlamacazapa , Guerrero. Clave Lada 762
Tlanchinol , Hidalgo. Clave Lada 774
Tlapa de Comonfort , Guerrero. Clave Lada 757
Tlapacoyan , Veracrúz. Clave Lada 294
Tlapacoyan , Veracrúz. Clave Lada 225
Tlapanala , Puebla. Clave Lada 244
Tlapanaloya , Estado de México. Clave Lada 599
Tlapehuala , Guerrero. Clave Lada 732
Tlaquepaque , Jalisco. Clave Lada 33
Tlaquiltenango , Morelos. Clave Lada 734
Tlatenchi , Morelos. Clave Lada 734
Tlatlauquitepec , Puebla. Clave Lada 233
Tlatlaya , Estado de México. Clave Lada 716
Tlaxcala , Tlaxcala. Clave Lada 246
Tlaxcalilla , Hidalgo. Clave Lada 427
Tlaxco , Tlaxcala. Clave Lada 241
Tlaxcoapan , Hidalgo. Clave Lada 778
Tlaxiaco , Oaxaca. Clave Lada 953
Tlaxmalac , Guerrero. Clave Lada 727
Tlayacapan , Morelos. Clave Lada 735
Tlayca , Morelos. Clave Lada 735
Tlayecac , Morelos. Clave Lada 735
Tlazala de Fabela , Estado de México. Clave Lada 55
Tlazazalca , Michoacán. Clave Lada 471
Tocumbo , Michoacán. Clave Lada 354
Tochimilco , Puebla. Clave Lada 244
Tochtepec , Puebla. Clave Lada 224
Todos Santos , Baja California Sur. Clave Lada 612
Tolcayuca , Hidalgo. Clave Lada 743
Toliman , Jalisco. Clave Lada 343
Toliman , Querétaro. Clave Lada 441
Tolome , Veracrúz. Clave Lada 285
Tolosa Donaji , Oaxaca. Clave Lada 972
Toluca , Estado de México. Clave Lada 722
Tomatlan , Jalisco. Clave Lada 322
Tomatlan , Puebla. Clave Lada 797
Tomatlan , Veracrúz. Clave Lada 273
Tomelopitos , Guanajuato. Clave Lada 462
Tomochi , Chihuahua. Clave Lada 635
Tonala , Chiapas. Clave Lada 966
Tonala , Hidalgo. Clave Lada 745
Tonala , Jalisco. Clave Lada 33
Tonalapa del Rio , Hidalgo. Clave Lada 736
Tonalapa del Sur , Guerrero. Clave Lada 733
Tonalapa , Puebla. Clave Lada 797
Tonantzintla , Puebla. Clave Lada 222
Tonatico , Estado de México. Clave Lada 721
Tonaya , Jalisco. Clave Lada 343
Tonila , Jalisco. Clave Lada 312
Topia , Durango. Clave Lada 674
Topolobampo , Sinaloa. Clave Lada 668
Torreon de Canas , Durango. Clave Lada 649
Torreon , Coahuila. Clave Lada 871
Totatiche , Jalisco. Clave Lada 437
Totolapa , Chiapas. Clave Lada 992
Totolapan , Morelos. Clave Lada 735
Tototlan , Jalisco. Clave Lada 391
Totutla , Veracrúz. Clave Lada 273
Toyahua de Abajo , Zacatecas. Clave Lada 346
Trancoso , Zacatecas. Clave Lada 492
Transfiguracion , Estado de México. Clave Lada 55
Trapiche de Santa Cruz , Oaxaca. Clave Lada 951
Trapiche del Rosario , Veracrúz. Clave Lada 279
Trejos , Jalisco. Clave Lada 373
Tres Alamos , Chihuahua. Clave Lada 636
Tres mezquites , Michoacán. Clave Lada 438
Tres Picos , Chiapas. Clave Lada 994
Tres Valles , Veracrúz. Clave Lada 288
Tres villas , Guanajuato. Clave Lada 429
Tres Zapotes , Veracrúz. Clave Lada 294
Trincheras , Sonora. Clave Lada 641
Trinidad de Viguera , Oaxaca. Clave Lada 951
Trinidad zaachila , Oaxaca. Clave Lada 951
Tronconal , Puebla. Clave Lada 244
Troncones (Emiliano Zapata) , Guerrero. Clave Lada 755
Tubutama , Sonora. Clave Lada 637
Tula , Hidalgo. Clave Lada 773
Tula , Tamaulipas. Clave Lada 832
Tula , Veracrúz. Clave Lada 284
Tulancingo , Hidalgo. Clave Lada 775
Tulapan , Veracrúz. Clave Lada 294
Tulcingo de Valle , Puebla. Clave Lada 275
Tuliman , Guerrero. Clave Lada 727
Tultepec , Estado de México. Clave Lada 55
Tultitlan de Mariano Escobedo , Estado de México. Clave Lada 55
Tulum , Quintana Roo. Clave Lada 984
Tumbiscatio de Ruiz , Michoacán. Clave Lada 452
Tungareo , Michoacán. Clave Lada 443
Tunkas , Yucatán. Clave Lada 991
Tupataro , Guanajuato. Clave Lada 429
Tupataro , Michoacán. Clave Lada 786
Turicato , Michoacán. Clave Lada 459
Turicuaro , Michoacán. Clave Lada 423
Turitzio , Michoacán. Clave Lada 435
Tuxcacuesco , Jalisco. Clave Lada 343
Tuxmadeje Grande (Santa Maria T , Estado de México. Clave Lada 718
Tuxpan , Guerrero. Clave Lada 733
Tuxpan , Jalisco. Clave Lada 371
Tuxpan , Michoacán. Clave Lada 786
Tuxpan , Nayarit. Clave Lada 319
Tuxpan , Veracrúz. Clave Lada 783
Tuxtepec , Oaxaca. Clave Lada 287
Tuxtilla , Veracrúz. Clave Lada 288
Tuxtla Chico , Chiapas. Clave Lada 962
Tuxtla Gutierrez , Chiapas. Clave Lada 961
Tuzamapan , Veracrúz. Clave Lada 228
Tuzantan , Chiapas. Clave Lada 964
Tuzantla , Michoacán. Clave Lada 786
Tzicatlan , Puebla. Clave Lada 275
Tzimol , Chiapas. Clave Lada 963
Tzintzingareo , Michoacán. Clave Lada 786
Tzintzuntzan , Michoacán. Clave Lada 434
Tziritzicuaro (Nativitas) , Michoacán. Clave Lada 443
Tzitzio , Michoacán. Clave Lada 459
Tzucacab , Yucatán. Clave Lada 997
U. H. J. Ma. Morelos y Pavon , Morelos. Clave Lada 734
Ucacuaro , Michoacán. Clave Lada 328
Ucum , Quintana Roo. Clave Lada 983
Uman , Yucatán. Clave Lada 988
Union de Corrientes , Nayarit. Clave Lada 319
Union de Guadalupe , Jalisco. Clave Lada 372
Union de Progreso (Lomas de Ira , Michoacán. Clave Lada 451
Union de San Antonio , Jalisco. Clave Lada 395
Union de Tula , Jalisco. Clave Lada 316
Union Ejidal Tierra y Libertad , Tlaxcala. Clave Lada 241
Union Hidalgo , Oaxaca. Clave Lada 971
Union Juarez , Chiapas. Clave Lada 962
Ures , Sonora. Clave Lada 623
Uriangato , Guanajuato. Clave Lada 445
Uripitio , Michoacán. Clave Lada 447
Urique , Chihuahua. Clave Lada 635
Ursulo Galvan , Veracrúz. Clave Lada 296
Uruachi , Chihuahua. Clave Lada 635
Uruapan , Baja California. Clave Lada 646
Uruapan , Michoacán. Clave Lada 452
Uruetaro , Michoacán. Clave Lada 443
Uspero (Reynosa) , Michoacán. Clave Lada 425
Uxmal (Hoteles) , Yucatán. Clave Lada 997
Uzeta , Nayarit. Clave Lada 324
Valadeces , Tamaulipas. Clave Lada 891
Valencia de Fuentes (Las Fuente , Guanajuato. Clave Lada 411
Valencianita , Guanajuato. Clave Lada 462
Valente Diaz , Veracrúz. Clave Lada 229
Valentin Gomez Farias , Chihuahua. Clave Lada 652
Valparaiso , Zacatecas. Clave Lada 457
Valtierrilla , Guanajuato. Clave Lada 464
Valladolid , Aguascalientes. Clave Lada 449
Valladolid , Yucatán. Clave Lada 985
Valle de Banderas , Nayarit. Clave Lada 329
Valle de Bravo , Estado de México. Clave Lada 726
Valle de Guadalupe , Jalisco. Clave Lada 347
Valle de Ignacio Allende , Chihuahua. Clave Lada 628
Valle de Juarez (Jerahuaro) , Michoacán. Clave Lada 451
Valle de Juarez , Jalisco. Clave Lada 382
Valle de la Trinidad , Baja California. Clave Lada 646
Valle de las Palmas , Baja California. Clave Lada 665
Valle de Santiago , Guanajuato. Clave Lada 456
Valle de Zaragoza , Chihuahua. Clave Lada 649
Valle Hermoso , Tamaulipas. Clave Lada 894
Valle Morelos , Chiapas. Clave Lada 965
Vallecillo , Nuevo León. Clave Lada 824
Vanegas , San Luis Potosí. Clave Lada 488
Vargas , Veracrúz. Clave Lada 229
Vega de Alatorre , Veracrúz. Clave Lada 235
Vega de Otates , Veracrúz. Clave Lada 846
Veinte de Noviembre , Chiapas. Clave Lada 961
Veinticuatro de Febrero , Veracrúz. Clave Lada 924
Velardena , Durango. Clave Lada 671
Venado , San Luis Potosí. Clave Lada 486
Vencedores , Durango. Clave Lada 674
Venta de Bravo , Michoacán. Clave Lada 447
Venta Grande , Puebla. Clave Lada 776
Venustiano Carranza (Cualata) , Colima. Clave Lada 314
Venustiano Carranza (Ocotan) , Durango. Clave Lada 677
Venustiano Carranza (Santa Maria) , Baja California. Clave Lada 616
Venustiano Carranza , Chiapas. Clave Lada 992
Venustiano Carranza , CDMX (Ciudad de México). Clave Lada 55
Venustiano Carranza , Michoacán. Clave Lada 353
Venustiano Carranza , Puebla. Clave Lada 746
Venustiano Carranza , Veracrúz. Clave Lada 235
Veracruz , Durango. Clave Lada 675
Veracruz , Veracrúz. Clave Lada 229
Verdia , Jalisco. Clave Lada 326
Vetagrande , Zacatecas. Clave Lada 492
Vicam (Switch) , Sonora. Clave Lada 643
Vicente Camalote , Oaxaca. Clave Lada 274
Vicente Guerrero (Algodones) , Baja California. Clave Lada 658
Vicente Guerrero (Iturbide) , Camp. Clave Lada 996
Vicente Guerrero , Chihuahua. Clave Lada 635
Vicente Guerrero , Chiapas. Clave Lada 992
Vicente Guerrero , Durango. Clave Lada 675
Vicente Guerrero , Tabasco. Clave Lada 913
Victoria , Guanajuato. Clave Lada 419
Vichinchijol Nuevo , Veracrúz. Clave Lada 846
Vida del Mar , Colima. Clave Lada 314
Viesca , Coahuila. Clave Lada 671
Villa Angel Flores , Sinaloa. Clave Lada 672
Villa Adolfo Lopez Mateos (El Tamarindo) ,  Sin. Clave Lada 667
Villa Alberto A. Alvarado A. (El Fundo Legal) , Baja California. Clave Lada 615
Villa Aldama Clave Lada 1a. Seccion , Tabasco. Clave Lada 933
Villa Aldama , Chihuahua. Clave Lada 614
Villa Aldama , Nuevo León. Clave Lada 829
Villa Aldama , Tamaulipas. Clave Lada 836
Villa Aldama , Veracrúz. Clave Lada 282
Villa Avila Camacho (La Ceiba) , Puebla. Clave Lada 764
Villa Azueta , Veracrúz. Clave Lada 283
Villa Benito Juarez (Campo Magallanes) , Tabasco. Clave Lada 923
Villa Cacalilao (Cacalilao) , Veracrúz. Clave Lada 846
Villa Corona , Jalisco. Clave Lada 387
Villa Corzo , Chiapas. Clave Lada 965
Villa Cuauhtemoc , Estado de México. Clave Lada 719
Villa de Acala , Chiapas. Clave Lada 961
Villa de Arista , San Luis Potosí. Clave Lada 486
Villa de Arriaga , San Luis Potosí. Clave Lada 485
Villa de Contla (Contla) , Jalisco. Clave Lada 358
Villa de Cos , Zacatecas. Clave Lada 458
Villa de Etla , Oaxaca. Clave Lada 951
Villa de Guadalupe , San Luis Potosí. Clave Lada 486
Villa de Juarez (San Antonio de las Minas) , Baja California. Clave Lada 646
Villa de las Rosas , Chiapas. Clave Lada 992
Villa de Mendez , Tamaulipas. Clave Lada 841
Villa de Paras , Nuevo León. Clave Lada 892
Villa de Ramos , San Luis Potosí. Clave Lada 458
Villa de Reyes , San Luis Potosí. Clave Lada 485
Villa de Tamazulapam del Progreso , Oaxaca. Clave Lada 953
Villa del Carbon , Estado de México. Clave Lada 588
Villa Emiliano Zapata (El Carrizal) , Veracrúz. Clave Lada 279
Villa Emiliano Zapata , Jalisco. Clave Lada 376
Villa Flores , Chiapas. Clave Lada 965
Villa Garcia , Zacatecas. Clave Lada 496
Villa Gregorio Garcia , Durango. Clave Lada 871
Villa Guerrero , Jalisco. Clave Lada 437
Villa Guerrero , Estado de México. Clave Lada 714
Villa Guerrero , Querétaro. Clave Lada 441
Villa Gustavo Diaz Ordaz (Campo Plata) , Sinaloa. Clave Lada 697
Villa Hermosa , Baja California. Clave Lada 658
Villa Hidalgo (El Cubo) , Guerrero. Clave Lada 732
Villa Hidalgo (El Nuevo) , Nayarit. Clave Lada 323
Villa Hidalgo , Chiapas. Clave Lada 965
Villa Hidalgo , Durango. Clave Lada 629
Villa Hidalgo , Jalisco. Clave Lada 495
Villa Hidalgo , Oaxaca. Clave Lada 951
Villa Hidalgo , San Luis Potosí. Clave Lada 486
Villa Hidalgo , Sonora. Clave Lada 634
Villa Hidalgo , Zacatecas. Clave Lada 496
Villa Ignacio Zaragoza (Las Flo , Baja California Sur. Clave Lada 613
Villa Insurgentes (El Calabazal) , Zacatecas. Clave Lada 433
Villa Insurgentes , Baja California Sur. Clave Lada 613
Villa Jimenez , Michoacán. Clave Lada 454
Villa Juarez (La Trozada) , Nayarit. Clave Lada 323
Villa Juarez(Campo Gob.) , Sinaloa. Clave Lada 672
Villa Juarez , Aguascalientes. Clave Lada 496
Villa Juarez , Durango. Clave Lada 871
Villa Juarez , San Luis Potosí. Clave Lada 486
Villa Juarez , Sonora. Clave Lada 643
Villa Lazaro Cardenas (El Aserradero) , Jalisco. Clave Lada 341
Villa Lazaro Cardenas (La Uno) , Puebla. Clave Lada 746
Villa Lic. Jesus Teran (Calvill , Aguascalientes. Clave Lada 449
Villa Lopez , Chihuahua. Clave Lada 629
Villa Madero , Camp. Clave Lada 982
Villa Madero , Michoacán. Clave Lada 459
Villa Mainero , Tamaulipas. Clave Lada 835
Villa Mariano Matamoros , Tlaxcala. Clave Lada 248
Villa Milpa Alta , CDMX (Ciudad de México). Clave Lada 55
Villa Montemorelos , Durango. Clave Lada 618
Villa Morelos , Michoacán. Clave Lada 438
Villa Nicolas Bravo , Guerrero. Clave Lada 732
Villa Nicolas Romero , Estado de México. Clave Lada 55
Villa Nueva , Oaxaca. Clave Lada 954
Villa Ocampo , Durango. Clave Lada 649
Villa Orestes Pereyra (Rosario) , Durango. Clave Lada 649
Villa Pesqueira (Matape) , Sonora. Clave Lada 623
Villa Progreso , Querétaro. Clave Lada 441
Villa Purificacion , Jalisco. Clave Lada 357
Villa Rafael Lara Grajales , Puebla. Clave Lada 276
Villa Talea de Castro , Oaxaca. Clave Lada 951
Villa Tejeda , Veracrúz. Clave Lada 274
Villa Tejupam de la Union , Oaxaca. Clave Lada 953
Villa Tezontepec , Hidalgo. Clave Lada 743
Villa Union , Coahuila. Clave Lada 862
Villa Union , Durango. Clave Lada 675
Villa Union , Sinaloa. Clave Lada 669
Villa Vicente Guerrero , Tlaxcala. Clave Lada 222
Villa Victoria , Estado de México. Clave Lada 726
Villachuato , Michoacán. Clave Lada 438
Villagran , Guanajuato. Clave Lada 411
Villagran , Tamaulipas. Clave Lada 835
Villahermosa , Tabasco. Clave Lada 993
Villamar , Michoacán. Clave Lada 383
Villanueva , Zacatecas. Clave Lada 499
Villas Campestres , Nuevo León. Clave Lada 81
Villas de Irapuato , Guanajuato. Clave Lada 462
Vista Hermosa (Santa Cruz del Cortijo) , Jalisco. Clave Lada 358
Vista Hermosa , Michoacán. Clave Lada 394
Vista Hermosa , Michoacán. Clave Lada 328
Vizarron de Montes , Querétaro. Clave Lada 441
Xala , Estado de México. Clave Lada 592
Xalatlaco , Estado de México. Clave Lada 713
Xalisco , Nayarit. Clave Lada 311
Xaloxtoc , Morelos. Clave Lada 735
Xaltianguis , Guerrero. Clave Lada 744
Xayacatlan de Bravo , Puebla. Clave Lada 953
X-can , Yucatán. Clave Lada 985
Xico , Estado de México. Clave Lada 55
Xico , Veracrúz. Clave Lada 228
Xicohtzinco , Tlaxcala. Clave Lada 222
Xicotencatl , Tamaulipas. Clave Lada 832
Xicotencatl , Tlaxcala. Clave Lada 247
Xicotepec de Juarez , Puebla. Clave Lada 764
Xichu , Guanajuato. Clave Lada 419
Xilitla , San Luis Potosí. Clave Lada 489
Xiteje de Zapata , Hidalgo. Clave Lada 773
Xmatkuil , Yucatán. Clave Lada 999
Xocchel , Yucatán. Clave Lada 988
Xoconoxtle el Grande , Guanajuato. Clave Lada 418
Xochicalco (Cirenio Longares) , Morelos. Clave Lada 737
Xochicoatlan , Hidalgo. Clave Lada 774
Xochihuacan (Las Palomas) , Hidalgo. Clave Lada 771
